date,checkpoint_clock,rule_id,side,confidence,entry_price,target_50,target_100,required_break_direction
2026-07-21,09:18,S0235,LONG,0.637,58178.25,58228.25,58278.25,HIGH
2026-07-21,09:20,S0695,LONG,0.6386,58185.3008,58235.3008,58285.3008,HIGH
2026-07-21,09:21,S0235@6m,LONG,0.637,58177.5508,58227.5508,58277.5508,HIGH
2026-07-21,09:24,S0679@9m,LONG,0.595,58097.1992,58147.1992,58197.1992,HIGH
2026-07-21,09:25,S0711,LONG,0.5886,58051.3516,58101.3516,58151.3516,HIGH
2026-07-21,09:27,S0679@12m,LONG,0.595,58089.9492,58139.9492,58189.9492,HIGH
2026-07-21,09:30,S0695@15m,LONG,0.6386,58039.1016,58089.1016,58139.1016,HIGH
2026-07-21,09:33,S0679@18m,LONG,0.595,58056.6016,58106.6016,58156.6016,HIGH
2026-07-21,09:36,S0679@21m,LONG,0.595,57994.1992,58044.1992,58094.1992,HIGH
2026-07-21,09:39,S0679@24m,LONG,0.595,58009.0508,58059.0508,58109.0508,HIGH
2026-07-21,09:42,S0679@27m,LONG,0.595,58033.3984,58083.3984,58133.3984,HIGH
2026-07-21,09:45,S0695@30m,LONG,0.6386,57978.3516,58028.3516,58078.3516,HIGH
2026-07-22,09:18,S0235,SHORT,0.637,57485.8516,57435.8516,57385.8516,LOW
2026-07-22,09:20,S0695,SHORT,0.6386,57480.5,57430.5,57380.5,LOW
2026-07-22,09:21,S0235@6m,SHORT,0.637,57478.0508,57428.0508,57378.0508,LOW
2026-07-22,09:24,S0235@9m,SHORT,0.637,57456.1992,57406.1992,57356.1992,LOW
2026-07-22,09:25,S0711,SHORT,0.5886,57439.8984,57389.8984,57339.8984,LOW
2026-07-22,09:27,S0235@12m,SHORT,0.637,57379.9492,57329.9492,57279.9492,LOW
2026-07-22,09:30,S0695@15m,SHORT,0.6386,57330.1992,57280.1992,57230.1992,LOW
2026-07-22,09:33,S0235@18m,SHORT,0.637,57325.8516,57275.8516,57225.8516,LOW
2026-07-22,09:36,S0235@21m,SHORT,0.637,57266.6992,57216.6992,57166.6992,LOW
2026-07-22,09:39,S0235@24m,SHORT,0.637,57285.8516,57235.8516,57185.8516,LOW
2026-07-22,09:42,S0235@27m,SHORT,0.637,57309.75,57259.75,57209.75,LOW
2026-07-22,09:45,S0695@30m,SHORT,0.6386,57320.3008,57270.3008,57220.3008,LOW
2026-07-24,09:30,S0695@15m,LONG,0.6386,56257.5508,56307.5508,56357.5508,HIGH
