date,checkpoint_clock,rule_id,side,confidence,entry_price,target_50,target_100,required_break_direction
2026-07-22,09:18,S0235,SHORT,0.637,57485.8516,57435.8516,57385.8516,LOW
2026-07-22,09:20,S0695,SHORT,0.6386,57480.5,57430.5,57380.5,LOW
2026-07-22,09:21,S0235@6m,SHORT,0.637,57478.0508,57428.0508,57378.0508,LOW
2026-07-22,09:24,S0235@9m,SHORT,0.637,57456.1992,57406.1992,57356.1992,LOW
2026-07-22,09:25,S0711,SHORT,0.5886,57439.8984,57389.8984,57339.8984,LOW
2026-07-22,09:27,S0235@12m,SHORT,0.637,57379.9492,57329.9492,57279.9492,LOW
2026-07-22,09:30,S0695@15m,SHORT,0.6386,57330.1992,57280.1992,57230.1992,LOW
2026-07-22,09:33,S0235@18m,SHORT,0.637,57325.8516,57275.8516,57225.8516,LOW
2026-07-22,09:36,S0235@21m,SHORT,0.637,57266.6992,57216.6992,57166.6992,LOW
2026-07-22,09:39,S0235@24m,SHORT,0.637,57285.8516,57235.8516,57185.8516,LOW
2026-07-22,09:42,S0235@27m,SHORT,0.637,57309.75,57259.75,57209.75,LOW
2026-07-22,09:45,S0695@30m,SHORT,0.6386,57320.3008,57270.3008,57220.3008,LOW
2026-07-24,09:30,S0695@15m,LONG,0.6386,56257.5508,56307.5508,56357.5508,HIGH
